04:43.131	ID:1	30 25652 43217 0 8 4 1 0 22 36083 0 4028 59399 108 798 1 8 8 1 64 153 1 90 139 65535 65535 0 0 0 0 
04:48.558	ID:1	30 25652 43222 0 9 4 1 0 22 36802 0 3093 41484 185 433 1 8 8 1 64 213 1 150 199 65535 65535 0 0 0 0 
04:48.749	ID:1	30 25652 43222 0 6 4 1 0 22 36879 0 3535 42365 274 481 1 9 9 2 64 146 1 83 132 65535 65535 0 0 0 0 
04:54.752	ID:1	30 25652 43228 0 3 4 2 0 22 37635 0 2738 38722 149 334 8 11 19 3 64 160 1 97 146 65535 65535 0 0 0 0 
04:55.076	ID:1	30 25652 43229 0 4 4 2 0 22 37713 0 3144 46220 131 402 7 19 27 2 64 146 1 83 76 65535 65535 0 0 0 0 
04:56.994	ID:1	30 25652 43231 0 7 4 1 0 22 37897 0 3740 37516 561 721 1 8 8 4 64 146 1 83 76 65535 65535 0 0 0 0 
05:01.870	ID:1	30 25652 43235 0 2 4 3 0 22 38535 0 3016 40983 207 330 5 13 34 1 64 153 1 90 139 65535 65535 0 0 0 0 
05:02.576	ID:1	30 25652 43236 0 5 4 2 0 22 38527 0 4261 49352 503 632 7 11 19 2 128 153 1 90 83 65535 65535 0 0 0 0 
05:08.452	ID:1	30 25652 43242 0 5 5 2 0 22 39272 0 5244 42320 1257 887 7 12 20 2 128 144 1 81 74 65535 65535 0 0 0 0 
05:09.698	ID:1	30 25652 43243 0 4 5 2 0 22 39574 0 4189 55182 263 634 7 14 22 2 128 197 1 134 127 65535 65535 0 0 0 0 
05:11.912	ID:1	30 25652 43245 0 8 5 1 0 22 39767 0 3936 54832 25 667 1 8 8 1 128 144 1 81 74 65535 65535 0 0 0 0 
05:15.824	ID:1	30 25652 43249 0 9 5 1 0 22 40292 0 3659 52024 5 622 1 8 8 1 128 204 1 141 134 65535 65535 0 0 0 0 
05:18.270	ID:1	30 25652 43252 0 10 5 2 0 22 40037 0 5609 62176 672 782 6 8 19 3 64 137 1 74 123 65535 65535 0 0 0 0 
05:21.687	ID:1	30 25652 43255 0 6 5 1 0 22 41095 0 4724 62564 135 888 1 8 8 2 128 137 1 74 123 65535 65535 0 0 0 0 
05:29.071	ID:1	30 25652 43263 0 7 5 1 0 22 42033 0 5985 60052 758 1084 1 8 8 4 64 130 1 67 116 65535 65535 0 0 0 0 
05:30.247	ID:1	30 25652 43264 0 3 5 2 0 22 42203 0 2726 33740 187 360 8 12 20 3 128 151 1 88 137 65535 65535 0 0 0 0 
05:35.877	ID:1	30 25652 43269 0 2 5 3 0 22 42881 0 5059 64297 322 585 5 11 33 1 128 144 1 81 74 65535 65535 0 0 0 0 
05:36.577	ID:1	30 25652 43270 0 6 6 1 0 22 43001 0 3827 56980 10 548 1 8 8 2 128 128 1 65 58 65535 65535 0 0 0 0 
05:37.075	ID:1	30 25652 43271 0 4 6 2 0 22 43015 0 4137 50729 525 592 7 14 22 2 128 181 1 118 111 65535 65535 0 0 0 0 
05:49.371	ID:1	30 25652 43283 0 3 6 2 0 22 44647 0 2711 36309 75 301 8 10 18 3 128 142 1 79 72 65535 65535 0 0 0 0 
05:50.874	ID:1	30 25652 43284 0 8 6 1 0 22 44753 0 2891 36889 142 483 1 8 8 1 128 128 1 65 58 65535 65535 0 0 0 0 
05:52.648	ID:1	30 25652 43286 0 7 6 1 0 22 45051 0 4176 44018 551 870 1 8 8 4 64 188 1 125 118 65535 65535 0 0 0 0 
05:58.825	ID:1	30 25652 43292 0 5 6 2 0 22 45764 0 3803 47991 261 538 7 11 19 2 128 128 1 65 58 65535 65535 0 0 0 0 
05:59.895	ID:1	30 25652 43293 0 10 6 2 0 22 45895 0 3493 43251 310 481 6 14 22 4 64 128 1 65 58 65535 65535 0 0 0 0 
